epoch,seconds,horizon,fallback_batches,train_loss,train_pred_mse,val_full_rel_l2,test_full_rel_l2,lr,params
101,35.262830,10,0,8.87304481e-02,8.75612716e-02,4.73929613e-01,4.77268889e-01,2.50000000e-04,745342
102,34.841802,10,0,8.76741988e-02,8.65024170e-02,4.49342473e-01,4.50986989e-01,2.50000000e-04,745342
103,35.390894,10,0,8.59811385e-02,8.48232674e-02,4.76375320e-01,4.77858441e-01,2.50000000e-04,745342
104,34.463746,10,0,8.58967476e-02,8.47453523e-02,4.62820237e-01,4.65564992e-01,2.50000000e-04,745342
105,34.177421,10,0,8.46864494e-02,8.35313866e-02,4.52888260e-01,4.55131562e-01,2.50000000e-04,745342
106,34.619174,10,0,8.51368099e-02,8.39888151e-02,4.77518399e-01,4.79417930e-01,2.50000000e-04,745342
107,34.303958,10,0,8.47840941e-02,8.36424289e-02,4.67356317e-01,4.68991368e-01,2.50000000e-04,745342
108,33.983688,10,0,8.36696504e-02,8.25307311e-02,4.54688575e-01,4.55848784e-01,2.50000000e-04,745342
109,34.262227,10,0,8.32256404e-02,8.20792353e-02,4.96728415e-01,4.98714337e-01,2.50000000e-04,745342
110,34.495362,10,0,8.25562240e-02,8.14173061e-02,4.80775123e-01,4.83672197e-01,2.50000000e-04,745342
111,33.961200,10,0,8.22924431e-02,8.11598778e-02,4.46849000e-01,4.49766352e-01,2.50000000e-04,745342
112,34.262475,10,0,8.22758050e-02,8.11386430e-02,4.86168737e-01,4.88293650e-01,2.50000000e-04,745342
113,34.673474,10,0,8.13512344e-02,8.02183456e-02,4.80650706e-01,4.82387190e-01,2.50000000e-04,745342
114,34.426898,10,0,8.05626636e-02,7.94278742e-02,4.75855827e-01,4.79171119e-01,2.50000000e-04,745342
115,34.426906,10,0,8.11383750e-02,8.00086666e-02,4.71523585e-01,4.73238373e-01,2.50000000e-04,745342
116,34.638607,10,0,7.97494912e-02,7.86205748e-02,4.48369973e-01,4.50571873e-01,2.50000000e-04,745342
117,33.997261,10,0,8.00460287e-02,7.89206628e-02,4.78972194e-01,4.81469138e-01,2.50000000e-04,745342
118,33.980839,10,0,7.93657226e-02,7.82328992e-02,4.55928218e-01,4.59234996e-01,2.50000000e-04,745342
119,34.917440,10,0,7.93241668e-02,7.81940753e-02,4.73064733e-01,4.74708068e-01,2.50000000e-04,745342
120,61.903880,20,0,4.49634006e-01,4.39632600e-01,3.57007843e-01,3.57094128e-01,2.50000000e-04,745342
121,61.628865,20,0,3.87427112e-01,3.78224846e-01,4.02926148e-01,4.00931075e-01,2.50000000e-04,745342
122,62.012010,20,0,3.76543447e-01,3.68051584e-01,3.47522379e-01,3.47282358e-01,2.50000000e-04,745342
123,61.150989,20,0,3.57356142e-01,3.49179963e-01,3.33486800e-01,3.34135939e-01,2.50000000e-04,745342
124,61.490600,20,0,3.53955548e-01,3.45983678e-01,3.28923911e-01,3.29151772e-01,2.50000000e-04,745342
125,62.119058,20,0,3.44901215e-01,3.37179052e-01,3.38469635e-01,3.37495173e-01,2.50000000e-04,745342
126,61.440574,20,0,3.35035339e-01,3.27498320e-01,3.29062018e-01,3.30002625e-01,2.50000000e-04,745342
127,61.960848,20,0,3.28560400e-01,3.21218682e-01,3.24083608e-01,3.24527019e-01,2.50000000e-04,745342
128,61.904626,20,0,3.29588080e-01,3.22293342e-01,3.23118033e-01,3.23361948e-01,2.50000000e-04,745342
129,61.771536,20,0,3.24823627e-01,3.17594210e-01,3.24699744e-01,3.25429366e-01,2.50000000e-04,745342
130,61.956803,20,0,3.19585878e-01,3.12442739e-01,3.24224279e-01,3.25404234e-01,2.50000000e-04,745342
131,63.732067,20,0,3.23084420e-01,3.15970761e-01,3.55287234e-01,3.52918862e-01,2.50000000e-04,745342
132,61.753974,20,0,3.21689918e-01,3.14697634e-01,3.25715764e-01,3.24277346e-01,2.50000000e-04,745342
133,61.400791,20,0,3.12153876e-01,3.05246572e-01,3.22905002e-01,3.24490893e-01,2.50000000e-04,745342
134,61.419117,20,0,3.29852716e-01,3.22871949e-01,3.20235271e-01,3.19784108e-01,2.50000000e-04,745342
135,61.323204,20,0,3.16363322e-01,3.09518960e-01,3.17297224e-01,3.17534984e-01,2.50000000e-04,745342
136,61.389817,20,0,3.15356767e-01,3.08551529e-01,3.20021329e-01,3.20580851e-01,2.50000000e-04,745342
137,62.263102,20,0,3.14826027e-01,3.08028488e-01,3.28953137e-01,3.29431177e-01,2.50000000e-04,745342
138,62.277018,20,0,3.12963294e-01,3.06164413e-01,3.21306616e-01,3.20860523e-01,2.50000000e-04,745342
139,62.487753,20,0,3.09645838e-01,3.02803873e-01,3.19680666e-01,3.20038131e-01,2.50000000e-04,745342
140,61.086983,20,0,3.18044824e-01,3.11254857e-01,3.16719682e-01,3.17237638e-01,2.50000000e-04,745342
141,60.946263,20,0,3.12264335e-01,3.05583909e-01,3.32148832e-01,3.30833312e-01,2.50000000e-04,745342
142,61.210913,20,0,3.16032674e-01,3.09327814e-01,3.25712923e-01,3.23143120e-01,2.50000000e-04,745342
143,62.707786,20,0,3.02395424e-01,2.95760191e-01,3.15222459e-01,3.15199682e-01,2.50000000e-04,745342
144,62.122116,20,0,3.00952815e-01,2.94249246e-01,3.21145238e-01,3.22248359e-01,2.50000000e-04,745342
145,61.865531,20,0,3.01133106e-01,2.94362802e-01,3.22855970e-01,3.22934399e-01,2.50000000e-04,745342
