epoch,seconds,horizon,train_loss,train_pred_mse,val_full_rel_l2,test_full_rel_l2,lr,params
168,0.293863,1,1.13141008e-03,1.12961540e-03,,4.56086977e-02,5.00000000e-04,124581
169,0.377389,1,1.11201391e-03,1.11043013e-03,,4.52680460e-02,5.00000000e-04,124581
170,0.682281,1,1.09429445e-03,1.09265807e-03,,4.73596323e-02,5.00000000e-04,124581
171,0.263617,1,1.10002053e-03,1.09802734e-03,,4.67828161e-02,5.00000000e-04,124581
172,0.238804,1,1.09080689e-03,1.08906051e-03,,4.47132823e-02,5.00000000e-04,124581
173,0.246151,1,1.07967889e-03,1.07799905e-03,,4.46321923e-02,5.00000000e-04,124581
174,0.288814,1,1.08368005e-03,1.08195441e-03,,4.52221993e-02,5.00000000e-04,124581
175,0.319988,1,1.09025082e-03,1.08866007e-03,,4.58571182e-02,5.00000000e-04,124581
176,0.302041,1,1.08922171e-03,1.08753096e-03,,4.60475534e-02,5.00000000e-04,124581
177,0.281887,1,1.09418452e-03,1.09236531e-03,,5.54149356e-02,5.00000000e-04,124581
178,0.255854,1,1.13769484e-03,1.13466253e-03,,5.00866905e-02,5.00000000e-04,124581
179,0.246258,1,1.13872214e-03,1.13673309e-03,,4.43120424e-02,5.00000000e-04,124581
180,0.294371,1,1.07818225e-03,1.07649937e-03,,4.50660963e-02,5.00000000e-04,124581
181,0.298207,1,1.08287265e-03,1.08117738e-03,,4.57455114e-02,5.00000000e-04,124581
182,0.301458,1,1.09509524e-03,1.09326030e-03,,4.56827132e-02,5.00000000e-04,124581
183,0.300808,1,1.10731151e-03,1.10488577e-03,,4.76679161e-02,5.00000000e-04,124581
184,0.298912,1,1.09462053e-03,1.09234683e-03,,4.56005298e-02,5.00000000e-04,124581
185,0.305013,1,1.09518070e-03,1.09266250e-03,,4.47149593e-02,5.00000000e-04,124581
186,0.294697,1,1.07516756e-03,1.07299919e-03,,4.88034233e-02,5.00000000e-04,124581
187,0.295068,1,1.08516094e-03,1.08343315e-03,,4.86667429e-02,5.00000000e-04,124581
188,0.295854,1,1.08453643e-03,1.08274416e-03,,4.40608734e-02,5.00000000e-04,124581
189,0.296523,1,1.08157718e-03,1.07965883e-03,,4.67942163e-02,5.00000000e-04,124581
190,0.293746,1,1.07632834e-03,1.07410562e-03,,4.50709748e-02,5.00000000e-04,124581
191,0.292689,1,1.07083625e-03,1.06893424e-03,,4.43110132e-02,5.00000000e-04,124581
192,0.300152,1,1.06542706e-03,1.06386675e-03,,4.44664963e-02,5.00000000e-04,124581
193,0.292717,1,1.06182555e-03,1.06013090e-03,,4.81940573e-02,5.00000000e-04,124581
194,0.298639,1,1.05916443e-03,1.05708473e-03,,4.38345180e-02,5.00000000e-04,124581
195,0.290508,1,1.07445283e-03,1.07263564e-03,,4.97425312e-02,5.00000000e-04,124581
196,0.292439,1,1.07005774e-03,1.06849395e-03,,4.38493729e-02,5.00000000e-04,124581
197,0.288027,1,1.06189024e-03,1.06037731e-03,,4.48809215e-02,5.00000000e-04,124581
198,0.299933,1,1.05991752e-03,1.05817374e-03,,4.70073140e-02,5.00000000e-04,124581
199,0.293723,1,1.08311953e-03,1.08070462e-03,,4.77955276e-02,2.50000000e-04,124581
200,0.300838,1,1.04570499e-03,1.04431995e-03,,4.43609500e-02,2.50000000e-04,124581
201,0.291618,1,1.03368608e-03,1.03225584e-03,,4.38343152e-02,2.50000000e-04,124581
202,0.299832,1,1.03694996e-03,1.03537357e-03,,4.30984914e-02,2.50000000e-04,124581
203,0.290816,1,1.03840008e-03,1.03698277e-03,,4.36088876e-02,2.50000000e-04,124581
204,0.301716,1,1.03175608e-03,1.03038640e-03,,4.37320219e-02,2.50000000e-04,124581
205,0.291964,1,1.03693178e-03,1.03548220e-03,,4.37362468e-02,2.50000000e-04,124581
206,0.301104,1,1.02910046e-03,1.02771478e-03,,4.40040959e-02,2.50000000e-04,124581
207,0.291465,1,1.03018462e-03,1.02880817e-03,,4.36741209e-02,2.50000000e-04,124581
208,0.299948,1,1.03200898e-03,1.03063180e-03,,4.33958077e-02,2.50000000e-04,124581
209,0.291649,1,1.02835989e-03,1.02696887e-03,,4.42756203e-02,2.50000000e-04,124581
210,0.298045,1,1.02872440e-03,1.02732170e-03,,4.33403586e-02,2.50000000e-04,124581
211,0.290707,1,1.03235998e-03,1.03104677e-03,,4.37303242e-02,2.50000000e-04,124581
212,0.300876,1,1.02320759e-03,1.02185514e-03,,4.32458758e-02,2.50000000e-04,124581
213,0.292983,1,1.02373102e-03,1.02241402e-03,,4.34830406e-02,2.50000000e-04,124581
214,0.298590,1,1.02783964e-03,1.02639152e-03,,4.52823840e-02,2.50000000e-04,124581
215,0.292003,1,1.03570281e-03,1.03433120e-03,,4.37106794e-02,2.50000000e-04,124581
216,0.299662,1,1.03572985e-03,1.03397556e-03,,4.34000072e-02,2.50000000e-04,124581
217,0.291893,1,1.02884850e-03,1.02711744e-03,,4.52269961e-02,2.50000000e-04,124581
218,0.300674,1,1.02246191e-03,1.02091329e-03,,4.54225600e-02,2.50000000e-04,124581
219,0.291988,1,1.02582766e-03,1.02445899e-03,,4.33051714e-02,2.50000000e-04,124581
220,0.299486,1,1.02479401e-03,1.02329160e-03,,4.41620967e-02,2.50000000e-04,124581
221,0.292151,1,1.02014590e-03,1.01875816e-03,,4.34352946e-02,2.50000000e-04,124581
222,0.298613,1,1.03289161e-03,1.03127349e-03,,4.41154107e-02,2.50000000e-04,124581
223,0.294871,1,1.01592245e-03,1.01450924e-03,,4.37929137e-02,2.50000000e-04,124581
