nohup: ignoring input
epoch 0176 | 110.40s | horizon 30 | fallback 00 | train 9.872408e-04 | test 5.120147e-02
epoch 0177 | 109.96s | horizon 30 | fallback 00 | train 9.823376e-04 | test 2.770509e-02
epoch 0178 | 111.26s | horizon 30 | fallback 00 | train 1.089299e-03 | test 5.581380e-02
epoch 0179 | 106.61s | horizon 30 | fallback 00 | train 1.400422e-03 | test 5.386565e-02
epoch 0180 | 107.13s | horizon 30 | fallback 00 | train 1.438594e-03 | test 5.946940e-02
epoch 0181 | 109.38s | horizon 30 | fallback 00 | train 1.376676e-03 | test 5.132976e-02
epoch 0182 | 107.73s | horizon 30 | fallback 00 | train 1.372712e-03 | test 4.826280e-02
epoch 0183 | 106.44s | horizon 30 | fallback 00 | train 1.362125e-03 | test 5.263834e-02
epoch 0184 | 109.54s | horizon 30 | fallback 00 | train 1.371429e-03 | test 5.052275e-02
epoch 0185 | 110.36s | horizon 30 | fallback 00 | train 1.213623e-03 | test 3.769157e-02
epoch 0186 | 108.45s | horizon 30 | fallback 00 | train 1.035857e-03 | test 2.527618e-02
epoch 0187 | 108.15s | horizon 30 | fallback 00 | train 9.428930e-04 | test 3.631585e-02
epoch 0188 | 109.06s | horizon 30 | fallback 00 | train 9.185781e-04 | test 3.103580e-02
epoch 0189 | 107.86s | horizon 30 | fallback 00 | train 8.944685e-04 | test 2.999810e-02
epoch 0190 | 105.26s | horizon 30 | fallback 00 | train 9.346255e-04 | test 3.961697e-02
epoch 0191 | 108.34s | horizon 30 | fallback 00 | train 9.346454e-04 | test 2.765115e-02
epoch 0192 | 109.87s | horizon 30 | fallback 00 | train 9.517039e-04 | test 5.189522e-02
epoch 0193 | 109.79s | horizon 30 | fallback 00 | train 2.022515e-03 | test 7.584640e-02
epoch 0194 | 109.15s | horizon 30 | fallback 00 | train 1.171024e-03 | test 2.964702e-02
epoch 0195 | 109.92s | horizon 30 | fallback 00 | train 9.370265e-04 | test 3.273507e-02
epoch 0196 | 109.45s | horizon 30 | fallback 00 | train 9.134457e-04 | test 4.694606e-02
