nohup: ignoring input
epoch 0198 | 0.30s | horizon 01 | train 1.059918e-03 | test 4.700731e-02
epoch 0199 | 0.29s | horizon 01 | train 1.083120e-03 | test 4.779553e-02
epoch 0200 | 0.30s | horizon 01 | train 1.045705e-03 | test 4.436095e-02
epoch 0201 | 0.29s | horizon 01 | train 1.033686e-03 | test 4.383432e-02
epoch 0202 | 0.30s | horizon 01 | train 1.036950e-03 | test 4.309849e-02
epoch 0203 | 0.29s | horizon 01 | train 1.038400e-03 | test 4.360889e-02
epoch 0204 | 0.30s | horizon 01 | train 1.031756e-03 | test 4.373202e-02
epoch 0205 | 0.29s | horizon 01 | train 1.036932e-03 | test 4.373625e-02
epoch 0206 | 0.30s | horizon 01 | train 1.029100e-03 | test 4.400410e-02
epoch 0207 | 0.29s | horizon 01 | train 1.030185e-03 | test 4.367412e-02
epoch 0208 | 0.30s | horizon 01 | train 1.032009e-03 | test 4.339581e-02
epoch 0209 | 0.29s | horizon 01 | train 1.028360e-03 | test 4.427562e-02
epoch 0210 | 0.30s | horizon 01 | train 1.028724e-03 | test 4.334036e-02
epoch 0211 | 0.29s | horizon 01 | train 1.032360e-03 | test 4.373032e-02
epoch 0212 | 0.30s | horizon 01 | train 1.023208e-03 | test 4.324588e-02
epoch 0213 | 0.29s | horizon 01 | train 1.023731e-03 | test 4.348304e-02
epoch 0214 | 0.30s | horizon 01 | train 1.027840e-03 | test 4.528238e-02
epoch 0215 | 0.29s | horizon 01 | train 1.035703e-03 | test 4.371068e-02
epoch 0216 | 0.30s | horizon 01 | train 1.035730e-03 | test 4.340001e-02
epoch 0217 | 0.29s | horizon 01 | train 1.028848e-03 | test 4.522700e-02
epoch 0218 | 0.30s | horizon 01 | train 1.022462e-03 | test 4.542256e-02
epoch 0219 | 0.29s | horizon 01 | train 1.025828e-03 | test 4.330517e-02
epoch 0220 | 0.30s | horizon 01 | train 1.024794e-03 | test 4.416210e-02
epoch 0221 | 0.29s | horizon 01 | train 1.020146e-03 | test 4.343529e-02
epoch 0222 | 0.30s | horizon 01 | train 1.032892e-03 | test 4.411541e-02
epoch 0223 | 0.29s | horizon 01 | train 1.015922e-03 | test 4.379291e-02
epoch 0224 | 0.30s | horizon 01 | train 1.014853e-03 | test 4.357125e-02
epoch 0225 | 0.29s | horizon 01 | train 1.011792e-03 | test 4.336621e-02
epoch 0226 | 0.30s | horizon 01 | train 1.013659e-03 | test 4.318982e-02
epoch 0227 | 0.29s | horizon 01 | train 1.030379e-03 | test 4.458165e-02
epoch 0228 | 0.30s | horizon 01 | train 1.014847e-03 | test 4.481892e-02
epoch 0229 | 0.29s | horizon 01 | train 1.010568e-03 | test 4.412994e-02
epoch 0230 | 0.30s | horizon 01 | train 1.014031e-03 | test 4.387960e-02
epoch 0231 | 0.29s | horizon 01 | train 1.010019e-03 | test 4.441172e-02
epoch 0232 | 0.30s | horizon 01 | train 1.017295e-03 | test 4.468398e-02
epoch 0233 | 0.29s | horizon 01 | train 1.031345e-03 | test 4.274547e-02
epoch 0234 | 0.30s | horizon 01 | train 1.015879e-03 | test 4.292212e-02
epoch 0235 | 0.29s | horizon 01 | train 1.013742e-03 | test 4.283083e-02
epoch 0236 | 0.30s | horizon 01 | train 1.015459e-03 | test 4.282057e-02
epoch 0237 | 0.29s | horizon 01 | train 1.005781e-03 | test 4.248872e-02
epoch 0238 | 0.30s | horizon 01 | train 1.011475e-03 | test 4.394973e-02
epoch 0239 | 0.29s | horizon 01 | train 1.004318e-03 | test 4.298899e-02
epoch 0240 | 0.30s | horizon 01 | train 1.004786e-03 | test 4.303009e-02
epoch 0241 | 0.29s | horizon 01 | train 1.010887e-03 | test 4.396381e-02
epoch 0242 | 0.30s | horizon 01 | train 1.006579e-03 | test 4.514255e-02
