nohup: ignoring input
epoch 0321 | 103.94s | horizon 40 | train 1.609983e-02 | test 1.265226e-01
epoch 0322 | 105.39s | horizon 40 | train 1.600428e-02 | test 1.255132e-01
epoch 0323 | 105.88s | horizon 40 | train 1.594534e-02 | test 1.268034e-01
epoch 0324 | 108.29s | horizon 40 | train 1.589886e-02 | test 1.253379e-01
epoch 0325 | 106.62s | horizon 40 | train 1.585194e-02 | test 1.260540e-01
epoch 0326 | 104.78s | horizon 40 | train 1.585904e-02 | test 1.253618e-01
epoch 0327 | 106.73s | horizon 40 | train 1.589139e-02 | test 1.289674e-01
epoch 0328 | 108.10s | horizon 40 | train 1.577037e-02 | test 1.254696e-01
epoch 0329 | 107.79s | horizon 40 | train 1.582696e-02 | test 1.261074e-01
epoch 0330 | 107.75s | horizon 40 | train 1.574460e-02 | test 1.251083e-01
epoch 0331 | 108.58s | horizon 40 | train 1.562195e-02 | test 1.243743e-01
epoch 0332 | 106.92s | horizon 40 | train 1.564646e-02 | test 1.245928e-01
epoch 0333 | 107.32s | horizon 40 | train 1.552556e-02 | test 1.240934e-01
epoch 0334 | 104.10s | horizon 40 | train 1.555846e-02 | test 1.239670e-01
epoch 0335 | 107.78s | horizon 40 | train 1.545191e-02 | test 1.243749e-01
epoch 0336 | 107.81s | horizon 40 | train 1.552322e-02 | test 1.236459e-01
epoch 0337 | 104.34s | horizon 40 | train 1.527856e-02 | test 1.258714e-01
