nohup: ignoring input
epoch 0163 | 59.70s | horizon 20 | fallback 00 | train 2.955395e-01 | test 3.136132e-01
epoch 0164 | 57.75s | horizon 20 | fallback 00 | train 3.019543e-01 | test 3.241757e-01
epoch 0165 | 60.10s | horizon 20 | fallback 00 | train 2.948043e-01 | test 3.206203e-01
epoch 0166 | 60.21s | horizon 20 | fallback 00 | train 3.019663e-01 | test 3.196379e-01
epoch 0167 | 60.04s | horizon 20 | fallback 00 | train 2.892911e-01 | test 3.156016e-01
epoch 0168 | 59.58s | horizon 20 | fallback 00 | train 2.910062e-01 | test 3.116074e-01
epoch 0169 | 59.58s | horizon 20 | fallback 00 | train 2.994037e-01 | test 3.122126e-01
epoch 0170 | 59.59s | horizon 20 | fallback 00 | train 2.947318e-01 | test 3.061678e-01
epoch 0171 | 60.43s | horizon 20 | fallback 00 | train 2.915280e-01 | test 3.051839e-01
epoch 0172 | 60.96s | horizon 20 | fallback 00 | train 2.899442e-01 | test 3.188069e-01
epoch 0173 | 60.85s | horizon 20 | fallback 00 | train 2.934960e-01 | test 3.211638e-01
epoch 0174 | 60.82s | horizon 20 | fallback 00 | train 2.874281e-01 | test 3.086368e-01
epoch 0175 | 60.88s | horizon 20 | fallback 00 | train 2.945472e-01 | test 3.144995e-01
epoch 0176 | 61.12s | horizon 20 | fallback 00 | train 2.852147e-01 | test 3.155089e-01
epoch 0177 | 61.15s | horizon 20 | fallback 00 | train 2.828104e-01 | test 3.077815e-01
epoch 0178 | 60.47s | horizon 20 | fallback 00 | train 2.834282e-01 | test 3.051250e-01
epoch 0179 | 60.68s | horizon 20 | fallback 00 | train 2.834453e-01 | test 3.118239e-01
epoch 0180 | 60.01s | horizon 20 | fallback 00 | train 2.848500e-01 | test 3.159663e-01
epoch 0181 | 60.25s | horizon 20 | fallback 00 | train 2.879357e-01 | test 3.074046e-01
epoch 0182 | 60.47s | horizon 20 | fallback 00 | train 2.810495e-01 | test 3.031689e-01
epoch 0183 | 59.84s | horizon 20 | fallback 00 | train 2.794790e-01 | test 3.010244e-01
epoch 0184 | 60.11s | horizon 20 | fallback 00 | train 2.864367e-01 | test 3.072231e-01
epoch 0185 | 59.58s | horizon 20 | fallback 00 | train 2.878239e-01 | test 3.044038e-01
epoch 0186 | 60.25s | horizon 20 | fallback 00 | train 2.835175e-01 | test 3.047791e-01
epoch 0187 | 60.02s | horizon 20 | fallback 00 | train 2.827731e-01 | test 3.121029e-01
epoch 0188 | 60.79s | horizon 20 | fallback 00 | train 2.812039e-01 | test 3.047527e-01
epoch 0189 | 60.56s | horizon 20 | fallback 00 | train 2.850101e-01 | test 3.426240e-01
epoch 0190 | 60.68s | horizon 20 | fallback 00 | train 2.788929e-01 | test 3.058390e-01
epoch 0191 | 60.37s | horizon 20 | fallback 00 | train 2.795215e-01 | test 3.052446e-01
epoch 0192 | 60.11s | horizon 20 | fallback 00 | train 2.769274e-01 | test 3.070932e-01
epoch 0193 | 60.28s | horizon 20 | fallback 00 | train 2.792894e-01 | test 3.168724e-01
epoch 0194 | 60.38s | horizon 20 | fallback 00 | train 2.782897e-01 | test 3.085920e-01
epoch 0195 | 59.55s | horizon 20 | fallback 00 | train 2.806639e-01 | test 3.453947e-01
epoch 0196 | 60.02s | horizon 20 | fallback 00 | train 2.797660e-01 | test 3.184564e-01
epoch 0197 | 61.37s | horizon 20 | fallback 00 | train 2.798275e-01 | test 3.069063e-01
epoch 0198 | 60.03s | horizon 20 | fallback 00 | train 2.749767e-01 | test 3.035725e-01
epoch 0199 | 60.44s | horizon 20 | fallback 00 | train 2.814060e-01 | test 3.079343e-01
epoch 0200 | 60.12s | horizon 20 | fallback 00 | train 2.671123e-01 | test 3.033647e-01
epoch 0201 | 60.77s | horizon 20 | fallback 00 | train 2.649283e-01 | test 2.997853e-01
epoch 0202 | 60.22s | horizon 20 | fallback 00 | train 2.730511e-01 | test 3.139845e-01
epoch 0203 | 59.64s | horizon 20 | fallback 00 | train 2.650095e-01 | test 2.979452e-01
epoch 0204 | 59.63s | horizon 20 | fallback 00 | train 2.636981e-01 | test 2.996331e-01
epoch 0205 | 60.18s | horizon 20 | fallback 00 | train 2.684563e-01 | test 2.976003e-01
epoch 0206 | 59.68s | horizon 20 | fallback 00 | train 2.639737e-01 | test 2.976955e-01
epoch 0207 | 60.59s | horizon 20 | fallback 00 | train 2.626180e-01 | test 2.970456e-01
epoch 0208 | 59.96s | horizon 20 | fallback 00 | train 2.701957e-01 | test 2.997260e-01
epoch 0209 | 60.25s | horizon 20 | fallback 00 | train 2.647291e-01 | test 2.961949e-01
epoch 0210 | 60.08s | horizon 20 | fallback 00 | train 2.658933e-01 | test 2.988301e-01
epoch 0211 | 60.42s | horizon 20 | fallback 00 | train 2.616084e-01 | test 2.992948e-01
epoch 0212 | 60.45s | horizon 20 | fallback 00 | train 2.648012e-01 | test 2.960338e-01
epoch 0213 | 60.41s | horizon 20 | fallback 00 | train 2.633171e-01 | test 3.092243e-01
epoch 0214 | 59.86s | horizon 20 | fallback 00 | train 2.617824e-01 | test 2.977388e-01
epoch 0215 | 59.94s | horizon 20 | fallback 00 | train 2.576425e-01 | test 2.959738e-01
epoch 0216 | 59.75s | horizon 20 | fallback 00 | train 2.597032e-01 | test 2.968086e-01
epoch 0217 | 59.92s | horizon 20 | fallback 00 | train 2.617264e-01 | test 3.017220e-01
epoch 0218 | 59.33s | horizon 20 | fallback 00 | train 2.618718e-01 | test 2.943356e-01
epoch 0219 | 59.84s | horizon 20 | fallback 00 | train 2.646330e-01 | test 2.944956e-01
epoch 0220 | 59.34s | horizon 20 | fallback 00 | train 2.588740e-01 | test 3.007480e-01
epoch 0221 | 59.95s | horizon 20 | fallback 00 | train 2.628083e-01 | test 2.962016e-01
epoch 0222 | 60.44s | horizon 20 | fallback 00 | train 2.630493e-01 | test 2.991800e-01
epoch 0223 | 60.16s | horizon 20 | fallback 00 | train 2.633467e-01 | test 2.966534e-01
epoch 0224 | 60.06s | horizon 20 | fallback 00 | train 2.644887e-01 | test 2.972778e-01
epoch 0225 | 60.47s | horizon 20 | fallback 00 | train 2.599481e-01 | test 2.965720e-01
epoch 0226 | 59.49s | horizon 20 | fallback 00 | train 2.605044e-01 | test 2.962253e-01
epoch 0227 | 60.01s | horizon 20 | fallback 00 | train 2.616377e-01 | test 2.950349e-01
epoch 0228 | 59.39s | horizon 20 | fallback 00 | train 2.611244e-01 | test 2.978184e-01
epoch 0229 | 59.49s | horizon 20 | fallback 00 | train 2.659169e-01 | test 2.930075e-01
epoch 0230 | 59.62s | horizon 20 | fallback 00 | train 2.591204e-01 | test 3.111324e-01
epoch 0231 | 59.78s | horizon 20 | fallback 00 | train 2.585865e-01 | test 2.966756e-01
epoch 0232 | 58.86s | horizon 20 | fallback 00 | train 2.608091e-01 | test 2.948729e-01
epoch 0233 | 59.88s | horizon 20 | fallback 00 | train 2.582503e-01 | test 2.953975e-01
epoch 0234 | 59.31s | horizon 20 | fallback 00 | train 2.589163e-01 | test 2.974327e-01
epoch 0235 | 59.50s | horizon 20 | fallback 00 | train 2.619120e-01 | test 2.950994e-01
epoch 0236 | 59.35s | horizon 20 | fallback 00 | train 2.617542e-01 | test 2.958868e-01
epoch 0237 | 59.34s | horizon 20 | fallback 00 | train 2.591127e-01 | test 2.938244e-01
epoch 0238 | 59.09s | horizon 20 | fallback 00 | train 2.585041e-01 | test 2.958500e-01
epoch 0239 | 60.29s | horizon 20 | fallback 00 | train 2.575387e-01 | test 3.005297e-01
epoch 0240 | 59.72s | horizon 20 | fallback 00 | train 2.572248e-01 | test 2.950287e-01
epoch 0241 | 59.66s | horizon 20 | fallback 00 | train 2.576431e-01 | test 2.938280e-01
epoch 0242 | 58.97s | horizon 20 | fallback 00 | train 2.619985e-01 | test 2.928890e-01
