epoch,seconds,horizon,fallback_batches,train_loss,train_pred_mse,val_full_rel_l2,test_full_rel_l2,lr,params
161,108.671959,30,0,1.11207674e-03,9.89049825e-04,,2.84669830e-02,2.50000000e-05,745342
162,109.524189,30,0,9.88152393e-04,8.68302820e-04,,3.24118984e-02,2.50000000e-05,745342
163,108.821504,30,0,1.01602664e-03,8.95108991e-04,,3.69506997e-02,2.50000000e-05,745342
164,109.514937,30,0,9.82395659e-04,8.61253849e-04,,7.59243196e-02,2.50000000e-05,745342
165,109.243220,30,0,1.41991501e-03,1.28615707e-03,,2.52809322e-02,2.50000000e-05,745342
166,109.323200,30,0,1.05976572e-03,9.36071090e-04,,3.70063803e-02,2.50000000e-05,745342
167,109.506339,30,0,8.47286737e-04,7.25770666e-04,,3.42031330e-02,2.50000000e-05,745342
168,109.984642,30,0,7.26078959e-04,6.02880235e-04,,4.03579716e-02,2.50000000e-05,745342
169,110.554274,30,0,7.36331194e-04,6.12536690e-04,,4.07883215e-02,2.50000000e-05,745342
170,108.497198,30,0,9.83629399e-04,8.52755430e-04,,3.90861918e-02,2.50000000e-05,745342
171,107.178266,30,0,9.07241453e-04,7.75675836e-04,,3.46224044e-02,2.50000000e-05,745342
172,108.510800,30,0,9.04895947e-04,7.70152464e-04,,4.40427355e-02,2.50000000e-05,745342
173,109.924315,30,0,9.39559477e-04,7.99891514e-04,,2.95112059e-02,2.50000000e-05,745342
174,109.590456,30,0,9.92252867e-04,8.50265567e-04,,5.38177499e-02,2.50000000e-05,745342
175,110.274304,30,0,9.84173071e-04,8.40730944e-04,,2.87017064e-02,2.50000000e-05,745342
176,110.401328,30,0,9.87240810e-04,8.40808405e-04,,5.12014715e-02,2.50000000e-05,745342
177,109.957544,30,0,9.82337642e-04,8.34741398e-04,,2.77050881e-02,2.50000000e-05,745342
178,111.260787,30,0,1.08929874e-03,9.38762648e-04,,5.58137980e-02,2.50000000e-05,745342
179,106.608777,30,0,1.40042183e-03,1.24007829e-03,,5.38656460e-02,2.50000000e-05,745342
180,107.126727,30,0,1.43859392e-03,1.27615530e-03,,5.94694048e-02,2.50000000e-05,745342
181,109.382165,30,0,1.37667567e-03,1.21499586e-03,,5.13297576e-02,2.50000000e-05,745342
182,107.734867,30,0,1.37271226e-03,1.20803444e-03,,4.82628015e-02,2.50000000e-05,745342
183,106.444951,30,0,1.36212512e-03,1.19744013e-03,,5.26383424e-02,2.50000000e-05,745342
184,109.535641,30,0,1.37142907e-03,1.20408969e-03,,5.05227460e-02,2.50000000e-05,745342
185,110.361437,30,0,1.21362256e-03,1.05021490e-03,,3.76915663e-02,2.50000000e-05,745342
186,108.452086,30,0,1.03585730e-03,8.76941546e-04,,2.52761787e-02,2.50000000e-05,745342
187,108.149363,30,0,9.42892980e-04,7.85194628e-04,,3.63158454e-02,2.50000000e-05,745342
188,109.056133,30,0,9.18578065e-04,7.62192646e-04,,3.10357980e-02,2.50000000e-05,745342
189,107.864818,30,0,8.94468502e-04,7.37002735e-04,,2.99981047e-02,2.50000000e-05,745342
190,105.264558,30,0,9.34625453e-04,7.73744792e-04,,3.96169715e-02,2.50000000e-05,745342
191,108.342547,30,0,9.34645419e-04,7.73157001e-04,,2.76511534e-02,2.50000000e-05,745342
192,109.866260,30,0,9.51703880e-04,7.90279222e-04,,5.18952219e-02,2.50000000e-05,745342
193,109.791451,30,0,2.02251452e-03,1.84193625e-03,,7.58463961e-02,2.50000000e-05,745342
194,109.147956,30,0,1.17102438e-03,1.00535880e-03,,2.96470208e-02,2.50000000e-05,745342
195,109.922013,30,0,9.37026531e-04,7.76031615e-04,,3.27350697e-02,2.50000000e-05,745342
196,109.446911,30,0,9.13445700e-04,7.51359716e-04,,4.69460605e-02,2.50000000e-05,745342
197,109.333950,30,0,9.42265306e-04,7.79383480e-04,,3.60540068e-02,2.50000000e-05,745342
198,109.231614,30,0,9.13789903e-04,7.52499113e-04,,4.15733373e-02,2.50000000e-05,745342
199,109.159096,30,0,9.21265463e-04,7.59012516e-04,,5.27244851e-02,1.25000000e-05,745342
200,143.089853,40,0,3.20168712e-03,3.02541534e-03,,3.68110554e-02,1.25000000e-05,745342
201,143.693787,40,0,1.90792018e-03,1.75875013e-03,,3.18327688e-02,1.25000000e-05,745342
202,143.861757,40,0,1.52206868e-03,1.38105983e-03,,3.35485278e-02,1.25000000e-05,745342
203,143.188049,40,0,1.42159481e-03,1.28125645e-03,,3.33446772e-02,1.25000000e-05,745342
204,142.701941,40,0,1.38547373e-03,1.24573740e-03,,4.35774569e-02,1.25000000e-05,745342
205,141.173968,40,0,1.35519509e-03,1.21395502e-03,,2.77832517e-02,1.25000000e-05,745342
206,141.288115,40,0,1.38190398e-03,1.24068537e-03,,2.90098953e-02,1.25000000e-05,745342
207,150.329222,40,0,1.38718263e-03,1.24705646e-03,,3.14675395e-02,1.25000000e-05,745342
208,143.877035,40,0,1.32498093e-03,1.18643843e-03,,3.13918406e-02,1.25000000e-05,745342
209,144.385656,40,0,1.25061530e-03,1.11221909e-03,,2.85296458e-02,1.25000000e-05,745342
210,143.395325,40,0,1.23205403e-03,1.09324362e-03,,3.03083724e-02,1.25000000e-05,745342
211,142.891828,40,0,1.31284451e-03,1.17227351e-03,,3.57618384e-02,1.25000000e-05,745342
212,141.573648,40,0,1.21932960e-03,1.07951122e-03,,2.92670631e-02,1.25000000e-05,745342
213,143.614175,40,0,1.28166089e-03,1.14017921e-03,,2.89203158e-02,1.25000000e-05,745342
214,142.421317,40,0,1.26537877e-03,1.12439685e-03,,3.32142401e-02,1.25000000e-05,745342
215,143.092467,40,0,1.27754735e-03,1.13628457e-03,,2.99323122e-02,1.25000000e-05,745342
216,140.588607,40,0,1.14078289e-03,1.00044916e-03,,2.89641126e-02,1.25000000e-05,745342
217,145.766082,40,0,1.19654195e-03,1.05531104e-03,,2.73944005e-02,1.25000000e-05,745342
218,142.284918,40,0,1.28304213e-03,1.14056894e-03,,3.64871481e-02,1.25000000e-05,745342
219,142.656121,40,0,1.16723403e-03,1.02532053e-03,,2.88981667e-02,1.25000000e-05,745342
220,144.578439,40,0,1.06737223e-03,9.25358346e-04,,2.71160399e-02,1.25000000e-05,745342
221,146.123644,40,0,1.09359328e-03,9.49189504e-04,,2.98912646e-02,1.25000000e-05,745342
222,146.388461,40,0,1.13149419e-03,9.86770888e-04,,3.09438178e-02,1.25000000e-05,745342
223,144.289776,40,0,1.30095473e-03,1.15532852e-03,,3.10201657e-02,1.25000000e-05,745342
224,143.231124,40,0,1.15430472e-03,1.01004817e-03,,3.24664977e-02,1.25000000e-05,745342
225,145.907487,40,0,1.19883238e-03,1.05388384e-03,,3.02139169e-02,1.25000000e-05,745342
226,146.717494,40,0,1.21395715e-03,1.06825345e-03,,2.80637729e-02,1.25000000e-05,745342
227,145.672014,40,0,1.08587993e-03,9.41357914e-04,,2.67118073e-02,1.25000000e-05,745342
228,145.612663,40,0,1.02901115e-03,8.84245602e-04,,3.15819189e-02,1.25000000e-05,745342
229,144.862394,40,0,1.26428932e-03,1.11618655e-03,,2.83825096e-02,1.25000000e-05,745342
230,146.066425,40,0,1.17915742e-03,1.03222312e-03,,2.68534589e-02,1.25000000e-05,745342
231,145.794681,40,0,1.24795140e-03,1.09994868e-03,,3.30119990e-02,1.25000000e-05,745342
232,146.369039,40,0,1.17023405e-03,1.02319202e-03,,2.68344683e-02,1.25000000e-05,745342
233,145.752877,40,0,1.22305893e-03,1.07401044e-03,,3.26567614e-02,1.25000000e-05,745342
234,144.596976,40,0,1.23728497e-03,1.08719943e-03,,3.24315010e-02,1.25000000e-05,745342
235,144.606776,40,0,1.24427542e-03,1.09060142e-03,,3.09966743e-02,1.25000000e-05,745342
236,143.638825,40,0,1.15034573e-03,9.99538800e-04,,2.76948719e-02,1.25000000e-05,745342
237,144.977738,40,0,1.29493738e-03,1.14339230e-03,,3.02768964e-02,1.25000000e-05,745342
238,145.084353,40,0,1.28803764e-03,1.13770076e-03,,2.79054686e-02,1.25000000e-05,745342
239,145.087958,40,0,1.30021219e-03,1.14938123e-03,,2.89250086e-02,1.25000000e-05,745342
240,144.501236,40,0,1.21620618e-03,1.06704480e-03,,2.75389519e-02,1.25000000e-05,745342
241,143.570740,40,0,1.25291881e-03,1.10251567e-03,,2.82016180e-02,1.25000000e-05,745342
242,144.921357,40,0,1.21618754e-03,1.06618103e-03,,2.79669660e-02,1.25000000e-05,745342
243,145.466624,40,0,1.26194840e-03,1.11123800e-03,,2.93945771e-02,1.25000000e-05,745342
244,142.183879,40,0,1.15930161e-03,1.00905018e-03,,2.71234323e-02,1.25000000e-05,745342
245,142.324211,40,0,1.22243361e-03,1.07028012e-03,,2.66317464e-02,1.25000000e-05,745342
246,143.753914,40,0,1.19561321e-03,1.04412468e-03,,3.36053772e-02,1.25000000e-05,745342
247,145.170362,40,0,1.31967156e-03,1.16729607e-03,,2.80700041e-02,1.25000000e-05,745342
248,144.277845,40,0,1.26396534e-03,1.11258412e-03,,3.57849891e-02,1.25000000e-05,745342
249,140.776608,40,0,1.17031301e-03,1.01953490e-03,,2.82426188e-02,1.25000000e-05,745342
250,144.242424,40,0,1.15973618e-03,1.00930584e-03,,2.77016096e-02,1.25000000e-05,745342
251,143.919638,40,0,1.26792919e-03,1.11606790e-03,,2.86565493e-02,1.25000000e-05,745342
252,142.165214,40,0,1.16213277e-03,1.01141187e-03,,2.90445051e-02,1.25000000e-05,745342
253,144.786873,40,0,1.13561224e-03,9.84885255e-04,,2.75561955e-02,1.25000000e-05,745342
254,143.724598,40,0,1.02461339e-03,8.73734035e-04,,2.78167826e-02,1.25000000e-05,745342
255,148.776132,40,0,1.38414880e-03,1.23029843e-03,,3.16659576e-02,1.25000000e-05,745342
256,142.661476,40,0,1.08401553e-03,9.34446156e-04,,2.67740443e-02,1.25000000e-05,745342
257,142.636457,40,0,1.19997631e-03,1.04809767e-03,,2.79402871e-02,1.25000000e-05,745342
258,143.122633,40,0,1.14904419e-03,9.97760847e-04,,3.01418120e-02,1.25000000e-05,745342
259,142.442371,40,0,1.18259733e-03,1.03007430e-03,,2.92119008e-02,1.25000000e-05,745342
260,145.931015,40,0,1.22893855e-03,1.07608235e-03,,3.69941232e-02,1.25000000e-05,745342
261,144.278154,40,0,1.07331162e-03,9.22254644e-04,,2.75202571e-02,1.25000000e-05,745342
262,145.305002,40,0,1.08500836e-03,9.32818896e-04,,2.69210491e-02,1.25000000e-05,745342
263,144.106381,40,0,1.04716960e-03,8.94552081e-04,,3.25756373e-02,1.25000000e-05,745342
264,145.936910,40,0,1.30222254e-03,1.14729920e-03,,3.04030536e-02,1.25000000e-05,745342
265,145.621478,40,0,1.22364478e-03,1.07109148e-03,,2.84520233e-02,1.25000000e-05,745342
266,145.042971,40,0,1.09046588e-03,9.36856660e-04,,2.67449383e-02,1.25000000e-05,745342
267,144.366107,40,0,1.05942071e-03,9.04499919e-04,,2.72140970e-02,1.25000000e-05,745342
268,142.120645,40,0,1.05734687e-03,9.01936947e-04,,2.72382625e-02,1.25000000e-05,745342
269,145.450237,40,0,1.07078014e-03,9.14970865e-04,,2.61180884e-02,1.25000000e-05,745342
