nohup: ignoring input
epoch 0171 | 113.44s | horizon 40 | train 2.199314e-02 | val 1.69260684e-02
epoch 0172 | 114.99s | horizon 40 | train 2.710614e-02 | val 3.71277498e-02
epoch 0173 | 118.15s | horizon 40 | train 2.580937e-02 | val 2.38628817e-02
epoch 0174 | 113.05s | horizon 40 | train 2.228730e-02 | val 2.46586740e-02
epoch 0175 | 112.78s | horizon 40 | train 2.213823e-02 | val 2.46551771e-02
epoch 0176 | 113.48s | horizon 40 | train 2.222796e-02 | val 2.64578788e-02
epoch 0177 | 111.82s | horizon 40 | train 2.218626e-02 | val 2.50623267e-02
epoch 0178 | 110.48s | horizon 40 | train 2.168374e-02 | val 2.65003384e-02
epoch 0179 | 111.81s | horizon 40 | train 2.361674e-02 | val 2.38190234e-02
epoch 0180 | 113.90s | horizon 40 | train 2.608441e-02 | val 3.48904316e-02
epoch 0181 | 111.48s | horizon 40 | train 2.772423e-02 | val 2.49126963e-02
epoch 0182 | 111.87s | horizon 40 | train 2.417412e-02 | val 2.32757307e-02
epoch 0183 | 109.86s | horizon 40 | train 2.250630e-02 | val 1.94065491e-02
epoch 0184 | 112.82s | horizon 40 | train 1.807358e-02 | val 1.76985984e-02
epoch 0185 | 114.53s | horizon 40 | train 1.977051e-02 | val 1.91168468e-02
epoch 0186 | 112.15s | horizon 40 | train 1.861038e-02 | val 1.63221343e-02
epoch 0187 | 114.78s | horizon 40 | train 2.057668e-02 | val 2.61315414e-02
epoch 0188 | 112.60s | horizon 40 | train 2.109598e-02 | val 2.69795196e-02
epoch 0189 | 111.45s | horizon 40 | train 2.104776e-02 | val 2.53288093e-02
epoch 0190 | 113.68s | horizon 40 | train 2.112514e-02 | val 2.52519634e-02
epoch 0191 | 116.71s | horizon 40 | train 2.124755e-02 | val 2.60127992e-02
epoch 0192 | 115.07s | horizon 40 | train 2.127037e-02 | val 2.50847051e-02
epoch 0193 | 115.43s | horizon 40 | train 2.183648e-02 | val 2.80340201e-02
epoch 0194 | 113.79s | horizon 40 | train 2.087234e-02 | val 1.76144181e-02
epoch 0195 | 112.91s | horizon 40 | train 2.079842e-02 | val 1.66745991e-02
epoch 0196 | 111.29s | horizon 40 | train 2.112213e-02 | val 1.72249462e-02
epoch 0197 | 112.84s | horizon 40 | train 2.073809e-02 | val 1.81085898e-02
epoch 0198 | 114.38s | horizon 40 | train 2.082063e-02 | val 1.81046908e-02
epoch 0199 | 116.43s | horizon 40 | train 2.092483e-02 | val 1.87607298e-02
epoch 0200 | 115.10s | horizon 40 | train 1.674286e-02 | val 1.80595873e-02
epoch 0201 | 115.28s | horizon 40 | train 1.678083e-02 | val 1.53426086e-02
epoch 0202 | 112.46s | horizon 40 | train 1.564267e-02 | val 2.08932003e-02
epoch 0203 | 112.08s | horizon 40 | train 1.651352e-02 | val 2.00349413e-02
epoch 0204 | 110.11s | horizon 40 | train 1.590775e-02 | val 1.67814792e-02
epoch 0205 | 111.82s | horizon 40 | train 1.605127e-02 | val 1.78055945e-02
epoch 0206 | 112.45s | horizon 40 | train 1.598187e-02 | val 1.74140938e-02
epoch 0207 | 111.19s | horizon 40 | train 1.765723e-02 | val 1.52153753e-02
epoch 0208 | 111.86s | horizon 40 | train 1.621675e-02 | val 1.40789104e-02
epoch 0209 | 112.88s | horizon 40 | train 1.754828e-02 | val 1.61075091e-02
epoch 0210 | 113.56s | horizon 40 | train 1.614086e-02 | val 1.60251088e-02
