nohup: ignoring input
epoch 0207 | 0.22s | horizon 01 | train 9.017291e-03 | val 9.55188066e-03
epoch 0208 | 0.22s | horizon 01 | train 8.844585e-03 | val 9.31940943e-03
epoch 0209 | 0.22s | horizon 01 | train 8.608485e-03 | val 9.33302701e-03
epoch 0210 | 0.22s | horizon 01 | train 8.583807e-03 | val 9.68186140e-03
epoch 0211 | 0.22s | horizon 01 | train 8.810275e-03 | val 9.56718504e-03
epoch 0212 | 0.22s | horizon 01 | train 8.700428e-03 | val 9.52105165e-03
epoch 0213 | 0.22s | horizon 01 | train 8.754469e-03 | val 1.04605782e-02
epoch 0214 | 0.22s | horizon 01 | train 1.008641e-02 | val 1.09456664e-02
epoch 0215 | 0.22s | horizon 01 | train 9.341643e-03 | val 1.00279936e-02
epoch 0216 | 0.21s | horizon 01 | train 9.044706e-03 | val 9.56840098e-03
epoch 0217 | 0.20s | horizon 01 | train 8.738015e-03 | val 9.45315778e-03
epoch 0218 | 0.22s | horizon 01 | train 8.906179e-03 | val 9.54477489e-03
epoch 0219 | 0.22s | horizon 01 | train 8.725262e-03 | val 9.54117835e-03
epoch 0220 | 0.22s | horizon 01 | train 8.831178e-03 | val 9.71740276e-03
epoch 0221 | 0.23s | horizon 01 | train 8.761894e-03 | val 9.63313937e-03
epoch 0222 | 0.21s | horizon 01 | train 9.812374e-03 | val 1.17446375e-02
epoch 0223 | 0.21s | horizon 01 | train 1.005352e-02 | val 1.00328648e-02
epoch 0224 | 0.21s | horizon 01 | train 9.069537e-03 | val 9.74571615e-03
epoch 0225 | 0.21s | horizon 01 | train 8.990451e-03 | val 9.84640300e-03
epoch 0226 | 0.21s | horizon 01 | train 8.905280e-03 | val 1.01351380e-02
epoch 0227 | 0.21s | horizon 01 | train 9.018401e-03 | val 9.18968439e-03
epoch 0228 | 0.21s | horizon 01 | train 8.766892e-03 | val 9.61162746e-03
epoch 0229 | 0.20s | horizon 01 | train 9.151479e-03 | val 1.03324407e-02
epoch 0230 | 0.21s | horizon 01 | train 8.998181e-03 | val 9.29061472e-03
epoch 0231 | 0.21s | horizon 01 | train 8.790164e-03 | val 9.35980976e-03
epoch 0232 | 0.21s | horizon 01 | train 8.765233e-03 | val 9.92753655e-03
epoch 0233 | 0.20s | horizon 01 | train 8.984362e-03 | val 1.09003213e-02
epoch 0234 | 0.20s | horizon 01 | train 9.857406e-03 | val 1.04687899e-02
epoch 0235 | 0.19s | horizon 01 | train 9.484534e-03 | val 9.93544281e-03
epoch 0236 | 0.21s | horizon 01 | train 9.289275e-03 | val 1.01108816e-02
epoch 0237 | 0.22s | horizon 01 | train 8.966708e-03 | val 9.63731945e-03
epoch 0238 | 0.23s | horizon 01 | train 8.939382e-03 | val 1.04778609e-02
epoch 0239 | 0.23s | horizon 01 | train 8.911579e-03 | val 9.64504629e-03
epoch 0240 | 0.23s | horizon 01 | train 8.558280e-03 | val 9.42952216e-03
epoch 0241 | 0.22s | horizon 01 | train 8.477308e-03 | val 9.06456232e-03
epoch 0242 | 0.24s | horizon 01 | train 8.641810e-03 | val 1.00198075e-02
epoch 0243 | 0.24s | horizon 01 | train 8.753828e-03 | val 9.79171753e-03
epoch 0244 | 0.23s | horizon 01 | train 8.544507e-03 | val 1.01950759e-02
epoch 0245 | 0.22s | horizon 01 | train 9.005667e-03 | val 9.73585367e-03
epoch 0246 | 0.23s | horizon 01 | train 8.692475e-03 | val 1.15734717e-02
epoch 0247 | 0.23s | horizon 01 | train 9.689775e-03 | val 1.05805227e-02
epoch 0248 | 0.23s | horizon 01 | train 9.219701e-03 | val 1.02329797e-02
epoch 0249 | 0.23s | horizon 01 | train 9.253873e-03 | val 1.04821578e-02
epoch 0250 | 0.22s | horizon 01 | train 9.161459e-03 | val 1.07901925e-02
epoch 0251 | 0.25s | horizon 01 | train 8.930340e-03 | val 9.51927245e-03
epoch 0252 | 0.20s | horizon 01 | train 8.676498e-03 | val 1.02286318e-02
epoch 0253 | 0.21s | horizon 01 | train 9.961649e-03 | val 1.02033105e-02
epoch 0254 | 0.21s | horizon 01 | train 9.460721e-03 | val 9.64389622e-03
epoch 0255 | 0.21s | horizon 01 | train 8.902771e-03 | val 1.08966690e-02
epoch 0256 | 0.21s | horizon 01 | train 9.253642e-03 | val 9.20955122e-03
epoch 0257 | 0.21s | horizon 01 | train 8.511645e-03 | val 1.00614607e-02
epoch 0258 | 0.21s | horizon 01 | train 9.313600e-03 | val 1.03393334e-02
epoch 0259 | 0.21s | horizon 01 | train 9.168984e-03 | val 1.08673441e-02
epoch 0260 | 0.21s | horizon 01 | train 1.067032e-02 | val 9.90493059e-03
epoch 0261 | 0.23s | horizon 01 | train 9.302731e-03 | val 1.05745840e-02
epoch 0262 | 0.22s | horizon 01 | train 9.735542e-03 | val 9.67385471e-03
epoch 0263 | 0.22s | horizon 01 | train 9.007818e-03 | val 1.04069924e-02
epoch 0264 | 0.23s | horizon 01 | train 1.030136e-02 | val 1.06112272e-02
epoch 0265 | 0.22s | horizon 01 | train 9.816752e-03 | val 1.06463844e-02
epoch 0266 | 0.22s | horizon 01 | train 9.221229e-03 | val 9.88766670e-03
epoch 0267 | 0.22s | horizon 01 | train 8.925641e-03 | val 9.93712604e-03
epoch 0268 | 0.22s | horizon 01 | train 8.840837e-03 | val 9.72443342e-03
epoch 0269 | 0.22s | horizon 01 | train 8.610577e-03 | val 9.07771409e-03
epoch 0270 | 0.19s | horizon 01 | train 8.558675e-03 | val 9.65840578e-03
epoch 0271 | 0.18s | horizon 01 | train 8.818175e-03 | val 1.03246424e-02
epoch 0272 | 0.18s | horizon 01 | train 8.874711e-03 | val 9.36496198e-03
epoch 0273 | 0.18s | horizon 01 | train 8.743465e-03 | val 1.08104521e-02
epoch 0274 | 0.18s | horizon 01 | train 8.783801e-03 | val 9.20316994e-03
epoch 0275 | 0.18s | horizon 01 | train 8.394409e-03 | val 9.73106682e-03
epoch 0276 | 0.19s | horizon 01 | train 8.965004e-03 | val 1.16887325e-02
