nohup: ignoring input
epoch 0213 | 0.26s | horizon 01 | train 8.392299e-03 | val n/a
epoch 0214 | 0.28s | horizon 01 | train 8.154153e-03 | val n/a
epoch 0215 | 0.37s | horizon 01 | train 8.130834e-03 | val n/a
epoch 0216 | 0.25s | horizon 01 | train 7.967883e-03 | val n/a
epoch 0217 | 0.28s | horizon 01 | train 8.016677e-03 | val n/a
epoch 0218 | 0.25s | horizon 01 | train 7.924424e-03 | val n/a
epoch 0219 | 0.24s | horizon 01 | train 8.168814e-03 | val n/a
epoch 0220 | 0.35s | horizon 01 | train 8.145606e-03 | val n/a
epoch 0221 | 0.35s | horizon 01 | train 8.207840e-03 | val n/a
epoch 0222 | 0.26s | horizon 01 | train 8.204802e-03 | val n/a
epoch 0223 | 0.26s | horizon 01 | train 8.210466e-03 | val n/a
epoch 0224 | 0.29s | horizon 01 | train 8.391921e-03 | val n/a
epoch 0225 | 0.24s | horizon 01 | train 8.254057e-03 | val n/a
epoch 0226 | 0.26s | horizon 01 | train 8.133667e-03 | val n/a
epoch 0227 | 0.25s | horizon 01 | train 8.042645e-03 | val n/a
epoch 0228 | 0.25s | horizon 01 | train 7.984797e-03 | val n/a
epoch 0229 | 0.25s | horizon 01 | train 7.981931e-03 | val n/a
epoch 0230 | 0.31s | horizon 01 | train 7.940718e-03 | val n/a
epoch 0231 | 0.28s | horizon 01 | train 7.798796e-03 | val n/a
epoch 0232 | 0.29s | horizon 01 | train 7.776384e-03 | val n/a
epoch 0233 | 0.26s | horizon 01 | train 7.665724e-03 | val n/a
epoch 0234 | 0.27s | horizon 01 | train 7.792656e-03 | val n/a
epoch 0235 | 0.38s | horizon 01 | train 7.833282e-03 | val n/a
epoch 0236 | 0.25s | horizon 01 | train 7.761994e-03 | val n/a
epoch 0237 | 0.25s | horizon 01 | train 7.913869e-03 | val n/a
epoch 0238 | 0.26s | horizon 01 | train 8.262044e-03 | val n/a
epoch 0239 | 0.25s | horizon 01 | train 8.157920e-03 | val n/a
epoch 0240 | 0.29s | horizon 01 | train 9.048060e-03 | val n/a
epoch 0241 | 0.26s | horizon 01 | train 8.406964e-03 | val n/a
epoch 0242 | 0.25s | horizon 01 | train 8.721375e-03 | val n/a
epoch 0243 | 0.24s | horizon 01 | train 8.550211e-03 | val n/a
epoch 0244 | 0.24s | horizon 01 | train 8.434453e-03 | val n/a
epoch 0245 | 0.24s | horizon 01 | train 8.493585e-03 | val n/a
epoch 0246 | 0.27s | horizon 01 | train 8.043358e-03 | val n/a
epoch 0247 | 0.23s | horizon 01 | train 8.336085e-03 | val n/a
epoch 0248 | 0.30s | horizon 01 | train 8.253276e-03 | val n/a
epoch 0249 | 0.33s | horizon 01 | train 8.438137e-03 | val n/a
epoch 0250 | 0.24s | horizon 01 | train 8.200969e-03 | val n/a
epoch 0251 | 0.31s | horizon 01 | train 7.951566e-03 | val n/a
epoch 0252 | 0.26s | horizon 01 | train 7.911704e-03 | val n/a
epoch 0253 | 0.25s | horizon 01 | train 7.925144e-03 | val n/a
epoch 0254 | 0.28s | horizon 01 | train 7.860900e-03 | val n/a
epoch 0255 | 0.24s | horizon 01 | train 7.815551e-03 | val n/a
epoch 0256 | 0.29s | horizon 01 | train 7.932346e-03 | val n/a
epoch 0257 | 0.25s | horizon 01 | train 7.931899e-03 | val n/a
epoch 0258 | 0.27s | horizon 01 | train 7.956341e-03 | val n/a
epoch 0259 | 0.27s | horizon 01 | train 7.936112e-03 | val n/a
epoch 0260 | 0.22s | horizon 01 | train 8.026059e-03 | val n/a
epoch 0261 | 0.32s | horizon 01 | train 8.259155e-03 | val n/a
epoch 0262 | 0.30s | horizon 01 | train 8.389433e-03 | val n/a
epoch 0263 | 0.29s | horizon 01 | train 8.451207e-03 | val n/a
epoch 0264 | 0.25s | horizon 01 | train 8.706122e-03 | val n/a
epoch 0265 | 0.33s | horizon 01 | train 7.910325e-03 | val n/a
epoch 0266 | 0.31s | horizon 01 | train 8.129369e-03 | val n/a
epoch 0267 | 0.25s | horizon 01 | train 7.891431e-03 | val n/a
epoch 0268 | 0.30s | horizon 01 | train 7.823340e-03 | val n/a
epoch 0269 | 0.38s | horizon 01 | train 8.610820e-03 | val n/a
epoch 0270 | 0.24s | horizon 01 | train 8.159743e-03 | val n/a
epoch 0271 | 0.45s | horizon 01 | train 8.294141e-03 | val n/a
epoch 0272 | 0.29s | horizon 01 | train 7.767938e-03 | val n/a
epoch 0273 | 0.25s | horizon 01 | train 8.275464e-03 | val n/a
epoch 0274 | 0.25s | horizon 01 | train 8.035344e-03 | val n/a
epoch 0275 | 0.25s | horizon 01 | train 8.255215e-03 | val n/a
