nohup: ignoring input
epoch 0306 | 154.94s | horizon 40 | train 1.394885e-02 | val n/a
epoch 0307 | 153.97s | horizon 40 | train 1.409420e-02 | val n/a
epoch 0308 | 154.46s | horizon 40 | train 1.417616e-02 | val n/a
epoch 0309 | 155.61s | horizon 40 | train 1.423581e-02 | val n/a
epoch 0310 | 155.15s | horizon 40 | train 1.424690e-02 | val n/a
epoch 0311 | 151.86s | horizon 40 | train 1.428700e-02 | val n/a
epoch 0312 | 152.12s | horizon 40 | train 1.433541e-02 | val n/a
epoch 0313 | 152.28s | horizon 40 | train 1.432492e-02 | val n/a
epoch 0314 | 150.84s | horizon 40 | train 1.439085e-02 | val n/a
epoch 0315 | 151.91s | horizon 40 | train 1.441296e-02 | val n/a
epoch 0316 | 152.01s | horizon 40 | train 1.443872e-02 | val n/a
epoch 0317 | 151.79s | horizon 40 | train 1.487457e-02 | val n/a
epoch 0318 | 149.86s | horizon 40 | train 1.509566e-02 | val n/a
epoch 0319 | 150.23s | horizon 40 | train 1.391361e-02 | val n/a
epoch 0320 | 150.27s | horizon 40 | train 1.372396e-02 | val n/a
epoch 0321 | 149.34s | horizon 40 | train 1.385321e-02 | val n/a
epoch 0322 | 149.32s | horizon 40 | train 1.397054e-02 | val n/a
epoch 0323 | 149.98s | horizon 40 | train 1.405613e-02 | val n/a
epoch 0324 | 150.66s | horizon 40 | train 1.419696e-02 | val n/a
epoch 0325 | 149.76s | horizon 40 | train 1.413912e-02 | val n/a
epoch 0326 | 150.97s | horizon 40 | train 1.407947e-02 | val n/a
epoch 0327 | 148.73s | horizon 40 | train 1.418472e-02 | val n/a
epoch 0328 | 150.31s | horizon 40 | train 1.421874e-02 | val n/a
epoch 0329 | 150.68s | horizon 40 | train 1.425522e-02 | val n/a
epoch 0330 | 150.52s | horizon 40 | train 1.429170e-02 | val n/a
epoch 0331 | 150.85s | horizon 40 | train 1.439740e-02 | val n/a
epoch 0332 | 150.84s | horizon 40 | train 1.463957e-02 | val n/a
epoch 0333 | 148.56s | horizon 40 | train 1.416368e-02 | val n/a
epoch 0334 | 150.20s | horizon 40 | train 1.398098e-02 | val n/a
epoch 0335 | 149.38s | horizon 40 | train 1.409607e-02 | val n/a
epoch 0336 | 150.19s | horizon 40 | train 1.418680e-02 | val n/a
epoch 0337 | 149.23s | horizon 40 | train 1.423555e-02 | val n/a
epoch 0338 | 149.98s | horizon 40 | train 1.430036e-02 | val n/a
epoch 0339 | 149.47s | horizon 40 | train 1.430724e-02 | val n/a
epoch 0340 | 148.40s | horizon 40 | train 1.432427e-02 | val n/a
epoch 0341 | 149.44s | horizon 40 | train 1.488099e-02 | val n/a
epoch 0342 | 151.49s | horizon 40 | train 1.378723e-02 | val n/a
epoch 0343 | 151.36s | horizon 40 | train 1.339536e-02 | val n/a
epoch 0344 | 150.99s | horizon 40 | train 1.346504e-02 | val n/a
epoch 0345 | 150.82s | horizon 40 | train 1.343194e-02 | val n/a
epoch 0346 | 150.71s | horizon 40 | train 1.343410e-02 | val n/a
epoch 0347 | 150.73s | horizon 40 | train 1.342112e-02 | val n/a
epoch 0348 | 150.87s | horizon 40 | train 1.383559e-02 | val n/a
epoch 0349 | 150.37s | horizon 40 | train 1.475010e-02 | val n/a
epoch 0350 | 150.30s | horizon 40 | train 1.336228e-02 | val n/a
epoch 0351 | 149.62s | horizon 40 | train 1.329054e-02 | val n/a
epoch 0352 | 150.86s | horizon 40 | train 1.323522e-02 | val n/a
epoch 0353 | 151.17s | horizon 40 | train 1.355714e-02 | val n/a
epoch 0354 | 151.03s | horizon 40 | train 1.318822e-02 | val n/a
epoch 0355 | 151.46s | horizon 40 | train 1.316202e-02 | val n/a
epoch 0356 | 151.49s | horizon 40 | train 1.323107e-02 | val n/a
epoch 0357 | 151.23s | horizon 40 | train 1.328017e-02 | val n/a
epoch 0358 | 150.52s | horizon 40 | train 1.331640e-02 | val n/a
epoch 0359 | 149.39s | horizon 40 | train 1.331073e-02 | val n/a
epoch 0360 | 150.09s | horizon 40 | train 1.334856e-02 | val n/a
epoch 0361 | 150.77s | horizon 40 | train 1.335908e-02 | val n/a
epoch 0362 | 150.04s | horizon 40 | train 1.337891e-02 | val n/a
epoch 0363 | 149.93s | horizon 40 | train 1.359334e-02 | val n/a
epoch 0364 | 150.22s | horizon 40 | train 1.403620e-02 | val n/a
epoch 0365 | 150.44s | horizon 40 | train 1.417383e-02 | val n/a
epoch 0366 | 149.39s | horizon 40 | train 1.425548e-02 | val n/a
epoch 0367 | 149.10s | horizon 40 | train 1.433240e-02 | val n/a
epoch 0368 | 150.83s | horizon 40 | train 1.440994e-02 | val n/a
epoch 0369 | 148.56s | horizon 40 | train 1.472637e-02 | val n/a
epoch 0370 | 149.17s | horizon 40 | train 1.458767e-02 | val n/a
epoch 0371 | 149.62s | horizon 40 | train 1.531079e-02 | val n/a
epoch 0372 | 149.62s | horizon 40 | train 1.547770e-02 | val n/a
epoch 0373 | 149.58s | horizon 40 | train 1.523711e-02 | val n/a
epoch 0374 | 148.75s | horizon 40 | train 1.436598e-02 | val n/a
epoch 0375 | 150.43s | horizon 40 | train 1.436367e-02 | val n/a
epoch 0376 | 150.22s | horizon 40 | train 1.444884e-02 | val n/a
