nohup: ignoring input
epoch 0214 | 85.27s | horizon 40 | train 3.037304e-02 | val 3.11268398e-02
epoch 0215 | 87.56s | horizon 40 | train 3.231387e-02 | val 3.50970243e-02
epoch 0216 | 86.19s | horizon 40 | train 3.084593e-02 | val 3.00004008e-02
epoch 0217 | 85.87s | horizon 40 | train 3.051792e-02 | val 2.73933485e-02
epoch 0218 | 86.53s | horizon 40 | train 2.983181e-02 | val 2.86262582e-02
epoch 0219 | 85.15s | horizon 40 | train 3.057532e-02 | val 2.91224137e-02
epoch 0220 | 88.16s | horizon 40 | train 2.951543e-02 | val 2.84741539e-02
epoch 0221 | 86.40s | horizon 40 | train 2.938414e-02 | val 3.19355100e-02
epoch 0222 | 86.30s | horizon 40 | train 3.179248e-02 | val 2.97168942e-02
epoch 0223 | 86.86s | horizon 40 | train 3.103128e-02 | val 3.22347112e-02
epoch 0224 | 86.57s | horizon 40 | train 3.193205e-02 | val 3.05528572e-02
epoch 0225 | 84.05s | horizon 40 | train 3.283276e-02 | val 2.79500642e-02
epoch 0226 | 84.79s | horizon 40 | train 3.040957e-02 | val 3.36867976e-02
epoch 0227 | 86.57s | horizon 40 | train 3.036051e-02 | val 2.93274848e-02
epoch 0228 | 86.06s | horizon 40 | train 2.991124e-02 | val 2.88232745e-02
epoch 0229 | 88.54s | horizon 40 | train 3.192919e-02 | val 2.99940351e-02
epoch 0230 | 94.62s | horizon 40 | train 2.902514e-02 | val 3.07761556e-02
epoch 0231 | 84.87s | horizon 40 | train 3.006548e-02 | val 3.10455225e-02
epoch 0232 | 86.42s | horizon 40 | train 2.880374e-02 | val 3.06389734e-02
epoch 0233 | 86.27s | horizon 40 | train 3.116565e-02 | val 3.88232729e-02
epoch 0234 | 86.15s | horizon 40 | train 3.313476e-02 | val 2.70927192e-02
epoch 0235 | 85.32s | horizon 40 | train 2.963350e-02 | val 3.52601440e-02
epoch 0236 | 86.78s | horizon 40 | train 2.890597e-02 | val 2.65304084e-02
epoch 0237 | 83.12s | horizon 40 | train 3.047466e-02 | val 3.39005709e-02
epoch 0238 | 85.04s | horizon 40 | train 3.490898e-02 | val 3.03978062e-02
epoch 0239 | 86.68s | horizon 40 | train 2.935727e-02 | val 2.59076904e-02
epoch 0240 | 87.44s | horizon 40 | train 3.000829e-02 | val 2.71651925e-02
epoch 0241 | 85.66s | horizon 40 | train 3.009241e-02 | val 3.46863602e-02
epoch 0242 | 86.46s | horizon 40 | train 2.918482e-02 | val 2.81020358e-02
epoch 0243 | 85.55s | horizon 40 | train 2.981954e-02 | val 2.63654415e-02
epoch 0244 | 85.57s | horizon 40 | train 3.098700e-02 | val 3.00958934e-02
epoch 0245 | 87.11s | horizon 40 | train 3.149135e-02 | val 2.83233102e-02
